"CountryCode","SeriesCode","DESCRIPTION",
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ALB","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ALB","IS.RRS.GOOD.MT.K6","Source: OECD",
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2019 are based on reports provided by the country. Short-term debt data for 2019 are sourced by the Central Bank of Albania.",
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"ALB","IS.RRS.PASG.KM","Source: OECD",
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament",
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","SP.DYN.CBRT.IN","Data source: Eurostat",
"AND","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"AND","SP.DYN.CDRT.IN","Data source: Eurostat",
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. ",
"AND","SP.DYN.TFRT.IN","Data source: Eurostat",
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E.",
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates.",
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates.",
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges.",
"ARE","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates.",
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad.",
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARE","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists in hotels and similar establishments. Until 2018: Non-resident tourists staying in hotels and similar establishments. From 2019: Non-resident tourists staying in all accommodation establishments. Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.",
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority.",
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones.",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","IS.RRS.PASG.KM","Source: OECD",
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones.",
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2019 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2019 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists).",
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression.",
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years.",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression.",
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones.",
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression.",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones.",
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression.",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression.",
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression.",
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression.",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","IS.RRS.PASG.KM","Source: OECD",
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2019 are based on reports provided by the country. Short-term debt data for 2019 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders.",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding yacht passenger arrivals.",
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ATG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
